name,category,phone,full_address,street,city,state,zip_code,has_website,website_type,website_raw,website_explanation,is_claimed,rating,reviews_count,price_level,maps_url,search_keyword,search_location,scraped_at
Ben & Adams Locksmith,Locksmith |,(321) 506-2058,4.9 | (92),4.9 | (92),,,,0,none,,No website URL listed in Google Business Profile,unknown,4.9,92,,https://www.google.com/maps/place/Ben+%26+Adams+Locksmith/data=!4m7!3m6!1s0x88de0dee139573e3:0xf1bee1bb39794a02!8m2!3d28.0019388!4d-80.6891895!16s%2Fg%2F11tw_mpg5j!19sChIJ43OVE-4N3ogRAkp5ObvhvvE?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,locksmith,"Palm Bay, FL",2026-08-31T07:30:22.893527+00:00
KC Locksmithing,Locksmith |,(707) 448-0926,4.8 | (12),4.8 | (12),,,,0,none,,No website URL listed in Google Business Profile,unknown,4.8,12,,https://www.google.com/maps/place/KC+Locksmithing/data=!4m7!3m6!1s0x80853d4594256adf:0x586f0cd12d83ae9d!8m2!3d38.3546278!4d-121.9889683!16s%2Fg%2F11vq53sm3q!19sChIJ32ollEU9hYARna6DLdEMb1g?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,locksmith,"Fairfield, CA",2026-08-31T07:30:20.830766+00:00
Dumbo Locksmith Inc,Locksmith |,(718) 737-6197,4.9 | (77),4.9 | (77),,,,0,none,,No website URL listed in Google Business Profile,unknown,4.9,77,,https://www.google.com/maps/place/Dumbo+Locksmith+Inc/data=!4m7!3m6!1s0x89c25bac88d7e995:0x91b5de8dec85224e!8m2!3d40.7033836!4d-73.9874783!16s%2Fg%2F11zkv67pr9!19sChIJlenXiKxbwokRTiKF7I3etZE?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,locksmith,"New York, NY",2026-08-31T07:30:20.826245+00:00
Bolt Locksmith Williamsburg - DUMBO,Locksmith |,(929) 790-4164,5.0 | (65),5.0 | (65),,,,0,none,,No website URL listed in Google Business Profile,unknown,5.0,65,,https://www.google.com/maps/place/Bolt+Locksmith+Williamsburg+-+DUMBO/data=!4m7!3m6!1s0x89c25b4965e3946d:0x5e3910e078b840ae!8m2!3d40.7030214!4d-73.986803!16s%2Fg%2F11z51q83n6!19sChIJbZTjZUlbwokRrkC4eOAQOV4?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,locksmith,"New York, NY",2026-08-31T07:30:20.824728+00:00
Selden Lock & Key,Locksmith | Closed |,(707) 639-7523,4.7 | (30),4.7 | (30),,,,0,none,,No website URL listed in Google Business Profile,unknown,4.7,30,,https://www.google.com/maps/place/Selden+Lock+%26+Key/data=!4m7!3m6!1s0x808515f365fbd9b3:0x35fb0aa3452b623f!8m2!3d38.190058!4d-122.0808034!16s%2Fg%2F11gpn6pt4v!19sChIJs9n7ZfMVhYARP2IrRaMK-zU?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,locksmith,"Fairfield, CA",2026-08-31T07:30:20.818210+00:00
Tom&Sons roadside,Towing service |,(951) 847-6797,5.0 | (60),5.0 | (60),,,,0,free_builder,http://tomandsonsroadside.wixsite.com/,Hosted on free builder/link-tree subdomain (wixsite.com),unknown,5.0,60,,https://www.google.com/maps/place/Tom%26Sons+roadside/data=!4m7!3m6!1s0x407e1f25bc7f65af:0xfeafa1ab8dba900d!8m2!3d33.5744704!4d-117.2078598!16s%2Fg%2F11vymkn1hh!19sChIJr2V_vCUffkARDZC6jauhr_4?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,locksmith,"Murrieta, CA",2026-08-31T07:30:12.504558+00:00
Motor star roadside assistance,Crane service,,5.0 | (18),5.0 | (18),,,,0,none,,No website URL listed in Google Business Profile,unknown,5.0,18,,https://www.google.com/maps/place/Motor+star+roadside+assistance/data=!4m7!3m6!1s0xb52acea09189765:0x3a3c8058bc77542!8m2!3d40.291176!4d-111.7512925!16s%2Fg%2F11z5qhqq18!19sChIJZZcYCeqsUgsRQnXHiwXIowM?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,locksmith,"Provo, UT",2026-08-31T07:30:07.246742+00:00
Efficient Roadside Automotive & Tire Services,Towing service |,(801) 205-6283,5.0 | (13),5.0 | (13),,,,0,none,,No website URL listed in Google Business Profile,unknown,5.0,13,,https://www.google.com/maps/place/Efficient+Roadside+Automotive+%26+Tire+Services/data=!4m7!3m6!1s0x874d9b03cf365587:0x87de51f1285dd576!8m2!3d40.2620083!4d-111.7103653!16s%2Fg%2F11msdlvnkz!19sChIJh1U2zwObTYcRdtVdKPFR3oc?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,locksmith,"Provo, UT",2026-08-31T07:30:07.235749+00:00
Superior Locksmith,Locksmith |,(801) 565-0226,4.8 | (246),4.8 | (246),,,,0,none,,No website URL listed in Google Business Profile,unknown,4.8,246,,https://www.google.com/maps/place/Superior+Locksmith/data=!4m7!3m6!1s0x87528926443b39df:0xd47713177a4618ef!8m2!3d40.6114323!4d-111.9384707!16s%2Fg%2F11c5_7xwdv!19sChIJ3zk7RCaJUocR7xhGehcTd9Q?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,locksmith,"West Jordan, UT",2026-08-31T07:30:05.120974+00:00
KC Lockout Service,Locksmith |,(816) 778-6437,5.0 | (1),5.0 | (1),,,,0,none,,No website URL listed in Google Business Profile,unknown,5.0,1,,https://www.google.com/maps/place/KC+Lockout+Service/data=!4m7!3m6!1s0x87c0fda06d81dc9f:0xcebe8c9b36919c02!8m2!3d39.0848409!4d-94.4301711!16s%2Fg%2F11j90r5q7c!19sChIJn9yBbaD9wIcRApyRNpuMvs4?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,locksmith,"Independence, MO",2026-08-31T07:29:56.699954+00:00
