name,category,phone,full_address,street,city,state,zip_code,has_website,website_type,website_raw,website_explanation,is_claimed,rating,reviews_count,price_level,maps_url,search_keyword,search_location,scraped_at
Black Diamond Plumbing & Heating,Plumber |,(617) 987-7442,5.0,5.0,,,,0,none,,No website URL listed in Google Business Profile,unknown,5.0,0,,https://www.google.com/maps/place/Black+Diamond+Plumbing+%26+Heating/data=!4m7!3m6!1s0x89e36fd01676854f:0xf1557575d28c5c4f!8m2!3d42.3895133!4d-70.9802976!16s%2Fg%2F11w551d2tm!19sChIJT4V2FtBv44kRT1yM0nV1VfE?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,plumber,"Boston, MA",2026-08-31T05:33:02.608014+00:00
Washington DC Plumber,Plumber |,(771) 251-1270,5.0,5.0,,,,0,none,,No website URL listed in Google Business Profile,unknown,5.0,0,,https://www.google.com/maps/place/Washington+DC+Plumber/data=!4m7!3m6!1s0xad91b7184fe84b9:0xa2607d365e06a4e6!8m2!3d38.9059702!4d-77.0369082!16s%2Fg%2F11z12ckjz_!19sChIJuYT-hHEb2QoR5qQGXjZ9YKI?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,plumber,"Washington, DC",2026-08-31T05:33:01.976228+00:00
#1 DMV Plumbing,Plumber |,(202) 507-3003,4.2,4.2,,,,0,none,,No website URL listed in Google Business Profile,unknown,4.2,0,,https://www.google.com/maps/place/%231+DMV+Plumbing/data=!4m7!3m6!1s0x89b7c997cbb25f0b:0xdc44a81440b69f6e!8m2!3d38.9576587!4d-77.0218457!16s%2Fg%2F11ngkvw4gp!19sChIJC1-yy5fJt4kRbp-2QBSoRNw?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,plumber,"Washington, DC",2026-08-31T05:33:01.975228+00:00
Affordable Plumbing & Gas LLC,Plumber |,(703) 839-3910,4.9,4.9,,,,0,none,,No website URL listed in Google Business Profile,unknown,4.9,0,,https://www.google.com/maps/place/Affordable+Plumbing+%26+Gas+LLC/data=!4m7!3m6!1s0x89b7b34f1689f4eb:0xfec4fdea3fe2018b!8m2!3d38.8806864!4d-77.1045132!16s%2Fg%2F11jj0sp8cj!19sChIJ6_SJFk-zt4kRiwHiP-r9xP4?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,plumber,"Washington, DC",2026-08-31T05:33:01.974228+00:00
PLOMERÍA ESTRELLA 💫,Plumber |,(656) 748-1253,4.8,4.8,,,,0,none,,No website URL listed in Google Business Profile,unknown,4.8,0,,https://www.google.com/maps/place/PLOMER%C3%8DA+ESTRELLA+%F0%9F%92%AB/data=!4m7!3m6!1s0x86e75d0fb67c7ac3:0x132a94404548bd80!8m2!3d31.7189734!4d-106.4189175!16s%2Fg%2F11mdjtl7lp!19sChIJw3p8tg9d54YRgL1IRUCUKhM?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,plumber,"El Paso, TX",2026-08-31T05:33:01.741008+00:00
Theodore & Sons Plumbing,Plumber |,(915) 265-0914,4.7,4.7,,,,0,none,,No website URL listed in Google Business Profile,unknown,4.7,0,,https://www.google.com/maps/place/Theodore+%26+Sons+Plumbing/data=!4m7!3m6!1s0x86e7594d9ac46cdf:0xb237506b0a7f376e!8m2!3d31.7697178!4d-106.4971187!16s%2Fg%2F11kw9c_g16!19sChIJ32zEmk1Z54YRbjd_CmtQN7I?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,plumber,"El Paso, TX",2026-08-31T05:33:01.725046+00:00
Donco Plumbing,Plumber |,(405) 601-0998,4.3,4.3,,,,0,none,,No website URL listed in Google Business Profile,unknown,4.3,0,,https://www.google.com/maps/place/Donco+Plumbing/data=!4m7!3m6!1s0x87b2117bf7cc721d:0xd3e8fb33ed8847e!8m2!3d35.4542769!4d-97.5945184!16s%2Fg%2F11vzfqysx8!19sChIJHXLM93sRsocRfoTYPrOPPg0?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,plumber,"Oklahoma City, OK",2026-08-31T05:33:01.526135+00:00
24/7 Emergency Plumber Nashville,Plumber |,(615) 768-8780,5.0,5.0,,,,0,none,,No website URL listed in Google Business Profile,unknown,5.0,0,,https://www.google.com/maps/place/24%2F7+Emergency+Plumber+Nashville/data=!4m7!3m6!1s0x887f9f503c72f769:0xaa7445e14313592d!8m2!3d36.1529847!4d-86.7924542!16s%2Fg%2F11vpt7ccpd!19sChIJafdyPFCff4gRLVkTQ-FFdKo?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,plumber,"Nashville, TN",2026-08-31T05:32:59.782931+00:00
Good Plumbing Service Company,Plumber |,(303) 455-4307,4.5,4.5,,,,0,none,,No website URL listed in Google Business Profile,unknown,4.5,0,,https://www.google.com/maps/place/Good+Plumbing+Service+Company/data=!4m7!3m6!1s0x876b87bdf84d9071:0x5b153d082e5e6a77!8m2!3d39.7840393!4d-105.0558571!16s%2Fg%2F11gcmygz8w!19sChIJcZBN-L2Ha4cRd2peLgg9FVs?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,plumber,"Denver, CO",2026-08-31T05:32:59.682980+00:00
Puget Seattle Plumbers and Drain Cleaning Co.,Plumber |,(206) 360-0078,4.9 | (20),4.9 | (20),,,,0,none,,No website URL listed in Google Business Profile,unknown,4.9,20,,https://www.google.com/maps/place/Puget+Seattle+Plumbers+and+Drain+Cleaning+Co./data=!4m7!3m6!1s0x863eb14fe5ad25ff:0xac814c945de84f71!8m2!3d47.6083198!4d-122.3408334!16s%2Fg%2F11r_w_pyct!19sChIJ_yWt5U-xPoYRcU_oXZRMgaw?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,plumber,"Seattle, WA",2026-08-31T05:32:59.304576+00:00
